# Tetrahedron method
       11.0000000000        0.1285070581        0.0052137890        0.0011067342        0.0011067342        0.0003364999        0.0003364999
       11.2000000000        0.1212736972        0.0046165883        0.0010444663        0.0010444663        0.0003096900        0.0003096900
       11.4000000000        0.1167362212        0.0041099036        0.0010103241        0.0010103241        0.0002879239        0.0002879239
       11.6000000000        0.1168297429        0.0040413079        0.0010105696        0.0010105696        0.0002801130        0.0002801130
       11.8000000000        0.1169279459        0.0039692981        0.0010105484        0.0010105484        0.0002723150        0.0002723150
       12.0000000000        0.1170308783        0.0038938242        0.0010102620        0.0010102620        0.0002645294        0.0002645294
       12.2000000000        0.1171385883        0.0038148363        0.0010097119        0.0010097119        0.0002567556        0.0002567556
       12.4000000000        0.1172511240        0.0037322844        0.0010088995        0.0010088995        0.0002489932        0.0002489932
       12.6000000000        0.1173685334        0.0036461184        0.0010078263        0.0010078263        0.0002412416        0.0002412416
       12.8000000000        0.1179084890        0.0035648819        0.0010114293        0.0010114293        0.0002339091        0.0002339091
       13.0000000000        0.1283601383        0.0037070283        0.0011198381        0.0011198381        0.0002384587        0.0002384587
       13.2000000000        0.1391085901        0.0038374303        0.0012220204        0.0012220204        0.0002502022        0.0002502022
       13.4000000000        0.1478253079        0.0042411802        0.0012573450        0.0012573450        0.0002620417        0.0002620417
       13.6000000000        0.1327035917        0.0040772226        0.0011442285        0.0011442285        0.0002329257        0.0002329257
       13.8000000000        0.1286155432        0.0036604010        0.0011295361        0.0011295361        0.0002162383        0.0002162383
       14.0000000000        0.1289966528        0.0036258795        0.0011545664        0.0011545664        0.0002085748        0.0002085748
       14.2000000000        0.1290890874        0.0035795852        0.0011771743        0.0011771743        0.0002002026        0.0002002026
       14.4000000000        0.1291894858        0.0035282720        0.0011987478        0.0011987478        0.0001917918        0.0001917918
       14.6000000000        0.1292978772        0.0034719016        0.0012192920        0.0012192920        0.0001833415        0.0001833415
       14.8000000000        0.1294142906        0.0034104359        0.0012388122        0.0012388122        0.0001748510        0.0001748510
       15.0000000000        0.1295387552        0.0033438367        0.0012573139        0.0012573139        0.0001663196        0.0001663196
       15.2000000000        0.1318392004        0.0032940036        0.0013018964        0.0013018964        0.0001585779        0.0001585779
       15.4000000000        0.1370285965        0.0033101047        0.0013837564        0.0013837564        0.0001526189        0.0001526189
       15.6000000000        0.1584954764        0.0036446674        0.0016475277        0.0016475277        0.0001592690        0.0001592690
       15.8000000000        0.1913737237        0.0046409212        0.0020297751        0.0020297751        0.0001943710        0.0001943710
       16.0000000000        0.1851501490        0.0043920758        0.0019326820        0.0019326820        0.0001801708        0.0001801708
       16.2000000000        0.1778586036        0.0041680921        0.0019745987        0.0019745987        0.0001627870        0.0001627870
       16.4000000000        0.1797830688        0.0041602758        0.0021003710        0.0021003710        0.0001550256        0.0001550256
       16.6000000000        0.1799270428        0.0041113911        0.0022198005        0.0022198005        0.0001449970        0.0001449970
       16.8000000000        0.1800798016        0.0040569497        0.0023381767        0.0023381767        0.0001349361        0.0001349361
       17.0000000000        0.1950737967        0.0041363880        0.0026723274        0.0026723274        0.0001275849        0.0001275849
       17.2000000000        0.2363472986        0.0060755302        0.0037536937        0.0037536937        0.0013658583        0.0013658583
       17.4000000000        0.2864297395        0.0079825680        0.0050625118        0.0050625118        0.0020322870        0.0020322870
       17.6000000000        0.3452359750        0.0090356510        0.0063619022        0.0063619023        0.0026263782        0.0026263782
       17.8000000000        0.4477341962        0.0099685623        0.0082339331        0.0082339331        0.0034772030        0.0034772030
       18.0000000000        0.5998057829        0.0199985898        0.0129179951        0.0129179951        0.0041941899        0.0041941899
       18.2000000000        0.3464404732        0.0073613770        0.0077808992        0.0077808992        0.0049258309        0.0049258309
       18.4000000000        0.2884045772        0.0053851327        0.0062037418        0.0062037418        0.0057439188        0.0057439188
       18.6000000000        0.2619322599        0.0045474970        0.0051148684        0.0051148684        0.0070643893        0.0070643893
